date,value
01.10.20,10620.50
30.09.20,10776.10
29.09.20,10840.90
28.09.20,10693.20
27.09.20,10776.20
26.09.20,10727.90
25.09.20,10688.80
24.09.20,10739.40
23.09.20,10237.30
22.09.20,10531.50
21.09.20,10416.80
20.09.20,10921.50
19.09.20,11081.80
18.09.20,10933.00
17.09.20,10941.30
16.09.20,10949.50
15.09.20,10785.30
14.09.20,10675.30
13.09.20,10326.00
12.09.20,10441.90
11.09.20,10390.20
10.09.20,10339.70
09.09.20,10224.60
08.09.20,10126.60
07.09.20,10376.90
06.09.20,10296.40
05.09.20,10092.20
04.09.20,10472.50
03.09.20,10168.80
02.09.20,11413.30
01.09.20,11914.90
31.08.20,11644.20
30.08.20,11702.00
29.08.20,11468.10
28.08.20,11527.40
27.08.20,11327.40
26.08.20,11462.30
25.08.20,11324.80
24.08.20,11753.50
23.08.20,11641.60
22.08.20,11661.30
21.08.20,11529.20
20.08.20,11856.90
19.08.20,11750.20
18.08.20,11947.60
17.08.20,12282.60
16.08.20,11899.00
15.08.20,11845.30
14.08.20,11750.80
13.08.20,11770.90
12.08.20,11557.20
11.08.20,11390.40
10.08.20,11889.20
09.08.20,11681.20
08.08.20,11764.30
07.08.20,11592.00
06.08.20,11757.10
05.08.20,11735.10
04.08.20,11184.70
03.08.20,11224.40
02.08.20,11066.80
01.08.20,11803.10
31.07.20,11333.40
30.07.20,11096.20
29.07.20,11105.90
28.07.20,10908.50
27.07.20,11022.80
26.07.20,9932.50
25.07.20,9704.10
24.07.20,9546.40
23.07.20,9599.60
22.07.20,9513.70
21.07.20,9387.30
20.07.20,9162.40
19.07.20,9208.00
18.07.20,9170.20
17.07.20,9155.80
16.07.20,9135.30
15.07.20,9198.70
14.07.20,9253.40
13.07.20,9243.60
12.07.20,9300.80
11.07.20,9233.30
10.07.20,9285.10
09.07.20,9235.70
08.07.20,9429.90
07.07.20,9256.00
06.07.20,9339.00
05.07.20,9081.00
04.07.20,9134.40
03.07.20,9067.10
02.07.20,9085.10
01.07.20,9229.90
30.06.20,9135.40
29.06.20,9185.40
28.06.20,9124.00
27.06.20,9008.30
26.06.20,9160.00
25.06.20,9247.50
24.06.20,9302.00
23.06.20,9624.60
22.06.20,9683.70
21.06.20,9296.40
20.06.20,9358.80
19.06.20,9314.00
18.06.20,9388.10
17.06.20,9464.60
16.06.20,9523.50
15.06.20,9425.40
14.06.20,9345.30
13.06.20,9471.30
12.06.20,9466.60
11.06.20,9283.20
10.06.20,9878.80
09.06.20,9768.80
08.06.20,9777.90
07.06.20,9742.60
06.06.20,9669.60
05.06.20,9631.20
04.06.20,9794.40
03.06.20,9667.20
02.06.20,9527.60
01.06.20,10189.30
31.05.20,9454.80
30.05.20,9692.50
29.05.20,9424.80
28.05.20,9572.20
27.05.20,9199.10
26.05.20,8842.50
25.05.20,8898.20
24.05.20,8728.20
23.05.20,9177.00
22.05.20,9169.70
21.05.20,9059.00
20.05.20,9512.30
19.05.20,9773.30
18.05.20,9730.70
17.05.20,9677.70
16.05.20,9379.50
15.05.20,9318.00
14.05.20,9778.40
13.05.20,9298.70
12.05.20,8813.80
11.05.20,8579.80
10.05.20,8738.80
09.05.20,9554.60
08.05.20,9806.20
07.05.20,9979.80
06.05.20,9151.40
05.05.20,9001.00
04.05.20,8874.70
03.05.20,8885.50
02.05.20,8966.30
01.05.20,8821.60
30.04.20,8629.00
29.04.20,8770.90
28.04.20,7746.90
27.04.20,7766.00
26.04.20,7678.90
25.04.20,7540.40
24.04.20,7503.80
23.04.20,7488.50
22.04.20,7112.90
21.04.20,6842.50
20.04.20,6833.50
19.04.20,7122.90
18.04.20,7230.80
17.04.20,7035.80
16.04.20,7085.60
15.04.20,6629.10
14.04.20,6850.90
13.04.20,6841.30
12.04.20,6917.60
11.04.20,6867.80
10.04.20,6863.10
09.04.20,7289.00
08.04.20,7361.20
07.04.20,7185.20
06.04.20,7332.30
05.04.20,6772.70
04.04.20,6857.40
03.04.20,6735.90
