date,value
2020-08-08,11764.30
2020-08-07,11592.00
2020-08-06,11757.10
2020-08-05,11735.10
2020-08-04,11184.70
2020-08-03,11224.40
2020-08-02,11066.80
2020-08-01,11803.10
2020-07-31,11333.40
2020-07-30,11096.20
2020-07-29,11105.90
2020-07-28,10908.50
2020-07-27,11022.80
2020-07-26,9932.50
2020-07-25,9704.10
2020-07-24,9546.40
2020-07-23,9599.60
2020-07-22,9513.70
2020-07-21,9387.30
2020-07-20,9162.40
2020-07-19,9208.00
2020-07-18,9170.20
2020-07-17,9155.80
2020-07-16,9135.30
2020-07-15,9198.70
2020-07-14,9253.40
2020-07-13,9243.60
2020-07-12,9300.80
2020-07-11,9233.30
2020-07-10,9285.10
2020-07-09,9235.70
2020-07-08,9429.90
2020-07-07,9256.00
2020-07-06,9339.00
2020-07-05,9081.00
2020-07-04,9134.40
2020-07-03,9067.10
2020-07-02,9085.10
2020-07-01,9229.90
2020-06-30,9135.40
2020-06-29,9185.40
2020-06-28,9124.00
2020-06-27,9008.30
2020-06-26,9160.00
2020-06-25,9247.50
2020-06-24,9302.00
2020-06-23,9624.60
2020-06-22,9683.70
2020-06-21,9296.40
2020-06-20,9358.80
2020-06-19,9314.00
2020-06-18,9388.10
2020-06-17,9464.60
2020-06-16,9523.50
2020-06-15,9425.40
2020-06-14,9345.30
2020-06-13,9471.30
2020-06-12,9466.60
2020-06-11,9283.20
2020-06-10,9878.80
2020-06-09,9768.80
2020-06-08,9777.90
2020-06-07,9742.60
2020-06-06,9669.60
2020-06-05,9631.20
2020-06-04,9794.40
2020-06-03,9667.20
2020-06-02,9527.60
2020-06-01,10189.30
2020-05-31,9454.80
2020-05-30,9692.50
2020-05-29,9424.80
2020-05-28,9572.20
2020-05-27,9199.10
2020-05-26,8842.50
2020-05-25,8898.20
2020-05-24,8728.20
2020-05-23,9177.00
2020-05-22,9169.70
2020-05-21,9059.00
2020-05-20,9512.30
2020-05-19,9773.30
2020-05-18,9730.70
2020-05-17,9677.70
2020-05-16,9379.50
2020-05-15,9318.00
2020-05-14,9778.40
2020-05-13,9298.70
2020-05-12,8813.80
2020-05-11,8579.80
2020-05-10,8738.80
2020-05-09,9554.60
2020-05-08,9806.20
2020-05-07,9979.80
2020-05-06,9151.40
2020-05-05,9001.00
2020-05-04,8874.70
2020-05-03,8885.50
2020-05-02,8966.30
2020-05-01,8821.60
2020-04-30,8629.00
2020-04-29,8770.90
2020-04-28,7746.90
2020-04-27,7766.00
2020-04-26,7678.90
2020-04-25,7540.40
2020-04-24,7503.80
2020-04-23,7488.50
2020-04-22,7112.90
2020-04-21,6842.50
2020-04-20,6833.50
2020-04-19,7122.90
2020-04-18,7230.80
2020-04-17,7035.80
2020-04-16,7085.60
2020-04-15,6629.10
2020-04-14,6850.90
2020-04-13,6841.30
2020-04-12,6917.60
2020-04-11,6867.80
2020-04-10,6863.10
2020-04-09,7289.00
2020-04-08,7361.20
2020-04-07,7185.20
2020-04-06,7332.30
2020-04-05,6772.70
2020-04-04,6857.40
2020-04-03,6735.90
2020-04-02,6800.50
2020-04-01,6638.50
2020-03-31,6412.50
2020-03-30,6391.00
2020-03-29,5890.40
2020-03-28,6233.70
2020-03-27,6373.40
2020-03-26,6725.10
2020-03-25,6678.90
2020-03-24,6744.60
2020-03-23,6468.90
2020-03-22,5822.10
2020-03-21,6186.20
2020-03-20,6205.30
2020-03-19,6172.00
2020-03-18,5361.40
2020-03-17,5261.10
2020-03-16,5030.00
2020-03-15,5366.30
2020-03-14,5182.70
2020-03-13,5584.30
2020-03-12,4826.00
2020-03-11,7935.10
2020-03-10,7891.20
